RECN,AUN,MUS,TI,ATI,PG,ED,SR,CT,COM,PL,YR,DATE,OY,VOL,NUM,EN,CODE,CITE,GCITE,VO,NOTE,XN,PER,CAT,EX,TR,SC,FE,DI,DIU,ROYAL,COMMIT,CALL,MSG,STAMP,UPN,SORTN,SORT2N,LCITE,BIB,recid,GCITE2,firsttwo,FirstLetter
311,"Gaya Nuño, J.A.",,Arte del siglo XIX,,,,"Ars Hispaniae, vol.19",,,Madrid,1966,,,,,,ARS19,"Gaya Nuño, 1966, p.","Gaya Nuño, 1966",,"seen.5.15.91.fma; IJR, 5/17/91, EW 5/23/91",,,,,,,,,,General,,,A B C D E F G H J K L M1 M3 M4 N O P Q R S T V,MJO |D 1989 11 08 |T 16:01:56,KS |D 1990 03 21 |T 17:08:29,,,"Gaya Nuño, J.A.  Arte del siglo XIX.  Ars Hispaniae, vol.19. Madrid, 1966.","Gaya Nuño, J.A.  Arte del siglo XIX.  Ars Hispaniae, vol.19. Madrid, 1966.",311,"Gaya Nuño, 1966",Gaya Nuño,G
312,"Marco Dorta, E.",,Arte en América y Filipinas,,,,"Ars Hispaniae, vol.21",,,Madrid,1973,,,,,,ARS21,"Marco Dorta, 1973, p.","Marco Dorta, 1973",,"Checked: IJR, 5/20/91, EW 5/23/91",,,,,,,,,,,,,B C L,MPI |D 1989 11 08 |T 15:57:22,KS |D 1990 03 21 |T 17:08:05,,,"Marco Dorta, E.  Arte en América y Filipinas.  Ars Hispaniae, vol.21.  Madrid, 1973.","Marco Dorta, E.  Arte en América y Filipinas.  Ars Hispaniae, vol.21.  Madrid, 1973.",312,"Marco Dorta, 1973",Marco Dorta,M
313,"Dalmases, N. de, and A. José i Pitarch.",,"Els inicis i l'art romànic, s. IX-XII",,,,"Història de l'art català, vol.1",,,Barcelona,1986,,,,,,ARTCA1,"Dalmases and José i Pitarch, 1986, p.","Dalmases and José i Pitarch, 1986",,"Checked: IJR, 5/14/91  EW 6/21/91  seen.9.4.91.fma",,,,,,,,,,General - Regional,,,A B C L M2,MPI |D 1989 11 08 |T 16:07:16,FMA |D 1990 12 06 |T 13:16:35,,,"Dalmases, N. de, and A. José i Pitarch.  Els inicis i l'art romànic, s. IX-XII.  Història de l'art català, vol.1.  Barcelona, 1986.","Dalmases, N. de, and A. José i Pitarch.  Els inicis i l'art romànic, s. IX-XII.  Història de l'art català, vol.1.  Barcelona, 1986.",313,"Dalmases and José i Pitarch, 1986",Dalmases and,D
314,"Dalmases, N. de, and A. José i Pitarch.",,"L'època del cister, s. XIII",,,,"Història de l'art català, vol.2",,,Barcelona,1985,,,,,,ARTCA2,"Dalmases and José i Pitarch, 1985, p.","Dalmases and José i Pitarch, 1985",,"Checked: IJR, 5/14/91  EW 6/20/91  seen.9.4.91.fma",,,,,,,,,,General - Regional,,,D L M2,MJO |D 1989 11 08 |T 16:18:07,FMA |D 1990 08 10 |T 09:19:49,,,"Dalmases, N. de, and A. José i Pitarch.  L'època del cister, s. XIII.  Història de l'art català, vol.2.  Barcelona, 1985.","Dalmases, N. de, and A. José i Pitarch.  L'època del cister, s. XIII.  Història de l'art català, vol.2.  Barcelona, 1985.",314,"Dalmases and José i Pitarch, 1985",Dalmases and,D
315,"Dalmases, N. de, and A. José i Pitarch.",,"L'art gòtic, s. XIV-XV",,,,"Història de l'art català, vol.3",,,Barcelona,1984,,,,,,ARTCA3,"Dalmases and José i Pitarch, 1984, p.","Dalmases and José i Pitarch, 1984",,"Checked: IJR, 5/14/91, EW 5/23/91  seen.9.4.91.fma",,,,,,,,,,General - Regional,,,A B C D E F G H I J L M1 M2 M3 M4 N O P S,MPI |D 1989 11 08 |T 16:09:17,FMA |D 1990 08 10 |T 09:08:58,,,"Dalmases, N. de, and A. José i Pitarch.  L'art gòtic, s. XIV-XV.  Història de l'art català, vol.3.  Barcelona, 1984.","Dalmases, N. de, and A. José i Pitarch.  L'art gòtic, s. XIV-XV.  Història de l'art català, vol.3.  Barcelona, 1984.",315,"Dalmases and José i Pitarch, 1984",Dalmases and,D
316,"Triadó, J.R.",,L'època del barroc: s. XVII-XVIII,,,,"Història de l'art català, vol.5",,,Barcelona,1984,,,,,,ARTCA5,"Triadó, 1984, p.","Triadó, 1984",,"Checked: IJR, 5/22/91, EW 5/24/91  seen.9.4.91.fma",,,,,,,,,,General - Regional,,,A B C E G I J L M1 M4 P S,MPI |D 1989 11 08 |T 16:20:13,FMA |D 1990 08 10 |T 09:20:45,,,"Triadó, J.R.  L'època del barroc: s. XVII-XVIII.  Història de l'art català, vol.5.  Barcelona, 1984.","Triadó, J.R.  L'època del barroc: s. XVII-XVIII.  Història de l'art català, vol.5.  Barcelona, 1984.",316,"Triadó, 1984","Triadó, 1984",T
317,"Fontbona, F.",,"Del Neoclassicisme a la Restauració, 1808-1888",,,,"Història de l'art català, vol.6",,,Barcelona,1983,,,,,,ARTCA6,"Fontbona, 1983, p.","Fontbona, 1983",,"Checked: IJR, 5/14/91  seen.5.21.91.fma  EW 5/23/91",,,,,,,,,,General - Regional,,803 H725,A B C D E F G H J I L M1 M3 M4 N O P Q R S T V,MJO |D 1989 11 08 |T 16:27:34,FMA |D 1990 08 10 |T 11:47:19,,,"Fontbona, F.  Del Neoclassicisme a la Restauració, 1808-1888. Història de l'art català, vol.6.  Barcelona, 1983.","Fontbona, F.  Del Neoclassicisme a la Restauració, 1808-1888. Història de l'art català, vol.6.  Barcelona, 1983.",317,"Fontbona, 1983","Fontbona, 1983",F
318,"Alcofar Nassaes, J.L.",,Josep Cusachs i Cusachs,,,,Gent nostra. No.87,,,Barcelona,1991,,,,,,ALNA,"Alcofar Nassaes, 1991, p.","Alcofar Nassaes, 1991",,seen.9.23.92.fma,,,,,,,,,,Back on Shelf,,813 C951 aL18,C,FMA |D 1992 09 23 |T 14:40:20,FMA |D 1992 09 23 |T 14:40:20,,,"Alcofar Nassaes, J.L.  Josep Cusachs i Cusachs.  Gent nostra. No.87.  Barcelona, 1991.","Alcofar Nassaes, J.L.  Josep Cusachs i Cusachs.  Gent nostra. No.87.  Barcelona, 1991.",318,"Alcofar Nassaes, 1991",Alcofar Nassaes,A
319,"Gaya Nuño, J.A.",,Arte del siglo XX,,,,"Ars Hispaniae, vol.22",,,Madrid,1977,,,,,,ARS22,"Gaya Nuño, 1977, p.","Gaya Nuño, 1977",,"seen.5.9.91.fma   Checked: IJR, 5/17/91, EW 5/23/91",,,,,,,,,,General,,,A B C D E F G H I J L M1 M3 M4 N O P R S T V Z,MPI |D 1989 11 09 |T 09:26:16,KS |D 1990 03 21 |T 16:37:31,,,"Gaya Nuño, J.A.  Arte del siglo XX.  Ars Hispaniae, vol.22. Madrid, 1977.","Gaya Nuño, J.A.  Arte del siglo XX.  Ars Hispaniae, vol.22. Madrid, 1977.",319,"Gaya Nuño, 1977",Gaya Nuño,G
320,"Saralegui, L. de.",,Archivo Español de Arte,Comentarios sobre algunos pintores y pinturas de Valencia,237-252,,,,,,,|y 1953,,26,,,SARA53,"Saralegui, 1953, p.","Saralegui, 1953",,"Checked: EW 5/24/91; IJR, 5/30/91  seen.6.3.91.fma",,Y,,,,,,,,Magazine,,,A M2,MPI |D 1989 11 14 |T 11:28:47,FMA |D 1990 08 15 |T 10:36:18,,,"Saralegui, L. de.  Comentarios sobre algunos pintores y pinturas de Valencia.  Archivo Español de Arte  26 (1953): 237-252.","Saralegui, L. de.  Comentarios sobre algunos pintores y pinturas de Valencia.  Archivo Español de Arte  26 (1953): 237-252.",320,"Saralegui, 1953","Saralegui, 1953",S
321,"Bulbena Estrany, E.",,Ramón Amadeu. Maestro imaginero catalán de los siglos XVIII y XIX,,,,,,,Barcelona,1927,,,,,,BULES,"Bulbena Estrany, 1927, p.","Bulbena Estrany, 1927",,"Checked: IJR, 5/14/91, EW 5/23/91",,,,,,,,,,,,,A,MPI |D 1989 11 14 |T 13:08:10,IR |D 1990 07 27 |T 10:17:40,,,"Bulbena Estrany, E.  Ramón Amadeu. Maestro imaginero catalán de los siglos XVIII y XIX.  Barcelona, 1927.","Bulbena Estrany, E.  Ramón Amadeu. Maestro imaginero catalán de los siglos XVIII y XIX.  Barcelona, 1927.",321,"Bulbena Estrany, 1927",Bulbena Estrany,B
322,"Chamoso Lamas, M.",,La arquitectura barroca en Galicia,,,,Artes y artistas,,,Madrid,1955,,,,,,CHALA,"Chamoso Lamas, 1955, p.","Chamoso Lamas, 1955",,"Checked: EW 7/1/91 / IJR, 7/2/91",,,,,,,,,,Photocopy,,,A C F,EW |D 1991 07 01 |T 09:33:43,EW |D 1991 07 01 |T 09:33:43,,,"Chamoso Lamas, M.  La arquitectura barroca en Galicia.  Artes y artistas.  Madrid, 1955.","Chamoso Lamas, M.  La arquitectura barroca en Galicia.  Artes y artistas.  Madrid, 1955.",322,"Chamoso Lamas, 1955",Chamoso Lamas,C
323,"Balaguer, F.",,Seminario de Arte Aragonés,Pintores zaragozanos en protocolos notariales de Huesca,77-88,,,,,,,|y 1954,,6,,,BALA54,"Balaguer, 1954, p.","Balaguer, 1954",,"Checked: IJR, 6/6/91.  Checked: EW 6/11/91  seen.8.6.91.fma",,Y,,,,,,,,Back on Shelf,,800 Se52,A C,MPI |D 1989 11 15 |T 13:57:51,IMS |D 1990 09 13 |T 17:16:36,,,"Balaguer, F.  Pintores zaragozanos en protocolos notariales de Huesca.  Seminario de Arte Aragonés  6 (1954): 77-88.","Balaguer, F.  Pintores zaragozanos en protocolos notariales de Huesca.  Seminario de Arte Aragonés  6 (1954): 77-88.",323,"Balaguer, 1954","Balaguer, 1954",B
324,,"Paris, Galerie Ror Volmar",Arriba,,,,,Intro.,A. Blondin,,,"May 26 - June 8, |y 1965",,,,,PAGAROR,"Paris, Galerie Ror Volmar [exh.], 1965, n.p.","Paris, Galerie Ror Volmar [exh.], 1965",,"Checked: EW, 5/23/91; IJR, 5/31/91",,,,Y,,,,,,,,,A,MPI |D 1989 11 15 |T 15:24:53,FMA |D 1990 08 14 |T 15:30:58,,,"Paris, Galerie Ror Volmar.  Arriba [exh.].  Intro. A. Blondin. May 26 - June 8, 1965.","Paris, Galerie Ror Volmar.  Arriba [exh.].  Intro. A. Blondin. May 26 - June 8, 1965.",324,"Paris, Galerie Ror Volmar [exh.], 1965","Paris, Galerie",P
325,,"Los Angeles, Los Angeles County Museum of Art",European Painting in the Seventies: New Work by Sixteen Artists,,,,,Comp.,M. Tuchman,,,"September 30 - November 23, |y 1975",,,,,LOSANCO,"Los Angeles, County Museum [trav. exh.], 1975, p.","Los Angeles, County Museum [trav. exh.], 1975",,"Checked: EW 5/23/91; IJR, 5/31/91",,,,,Y,,,,,,,,A,MPI |D 1989 11 15 |T 16:54:00,FMA |D 1990 08 13 |T 12:35:09,,"los angeles, county museum1975","Los Angeles, Los Angeles County Museum of Art.  European Painting in the Seventies: New Work by Sixteen Artists [trav. exh.].  Comp. M. Tuchman.  September 30 - November 23, 1975.","Los Angeles, Los Angeles County Museum of Art.  European Painting in the Seventies: New Work by Sixteen Artists [trav. exh.].  Comp. M. Tuchman.  September 30 - November 23, 1975.",325,"Los Angeles, County Museum [trav. exh.], 1975",Los Angeles,L
326,,,Cataluña,,,,Tierras de España,,,Madrid,1974-1978  [Individual articles listed by author],,,,,,,,Tierras de España,2 vols.,Checked: IJR 10/93     seen.4.7.94.fma,,,,,,,,,,General - Regional,,021 Sp 1t44,A B C D F G H M1 V,FMA |D 1992 08 18 |T 12:16:08,FMA |D 1992 08 18 |T 12:16:08,,,"Cataluña.  Tierras de España.  2 vols.  Madrid, 1974-1978 [Individual articles listed by author].","Cataluña.  Tierras de España.  2 vols.  Madrid, 1974-1978 [Individual articles listed by author].",326,Tierras de España,Tierras de,T
327,"Miralles, F.",,"L'època de les avantguardes, 1917-1970",,,,"Història de l'art català, vol.8",,,Barcelona,1983,,,,,,ARTCA8,"Miralles, 1983, p.","Miralles, 1983",,"Checked: IJR, 5.20.91, EW 5/23/91         seen.7.17.91.fma",,,,,,,,,,General - Regional,,,A B C D E F G H I J L M1 M3 M4 N O P R S T V,MPI |D 1989 11 20 |T 13:12:45,IR |D 1990 07 30 |T 12:03:36,,,"Miralles, F.  L'època de les avantguardes, 1917-1970.  Història de l'art català, vol.8.  Barcelona, 1983.","Miralles, F.  L'època de les avantguardes, 1917-1970.  Història de l'art català, vol.8.  Barcelona, 1983.",327,"Miralles, 1983","Miralles, 1983",M
328,"Weise, G.",,Rivista d'arte,Repliche della Visitazione del Ghirlandaio nella scultura spagnola del Cinquecento,68-84,,,,,,,|y 1940,,12,,,WEISE40,"Weise, 1940, p.","Weise, 1940",,Checked: EW 6/28/91 // IJR 9/27/91,,Y,,,,,,,,Magazine,,,B,MJO |D 1989 11 21 |T 12:32:23,FMA |D 1990 11 05 |T 10:51:32,,,"Weise, G.  Repliche della Visitazione del Ghirlandaio nella scultura spagnola del Cinquecento.  Rivista d'arte  12 (1940): 68-84.","Weise, G.  Repliche della Visitazione del Ghirlandaio nella scultura spagnola del Cinquecento.  Rivista d'arte  12 (1940): 68-84.",328,"Weise, 1940","Weise, 1940",W
329,"Madoz, P.",,Diccionario geográfico-estadístico-histórico de España y sus posesiones de ultramar,,,,,,,Madrid,1845-1850,,,,,,MADOZ,"Madoz, v. , 18  , p.","Madoz, 1845-1850",16 vols.,"Checked: EW 7/17/91         This ref. has not been used in Colon database.8.21,92.fma",,,,,,,,,,,,021 Splm257,,MPI |D 1989 11 21 |T 14:25:13,EVA |D 1990 03 06 |T 12:14:46,,,"Madoz, P.  Diccionario geográfico-estadístico-histórico de España y sus posesiones de ultramar.  16 vols.  Madrid, 1845-1850.","Madoz, P.  Diccionario geográfico-estadístico-histórico de España y sus posesiones de ultramar.  16 vols.  Madrid, 1845-1850.",329,"Madoz, 1845-1850","Madoz, 1845-1850",M
330,"Lafuente Ferrari, E.",,Breve historia de la pintura española,,,4th rev.,Colección síntesis de arte,,,Madrid,1953,,,,,,LAFEP53,"Lafuente Ferrari, Pintura, 1953, p.","Lafuente Ferrari, Pintura, 1953",,"Checked: EW 6/5/91; IJR, 6/7/91   seen.6.1.92.fma",,,,,,,,,,Authors,,810 L134 Ed4,E G M2 M4 Z,IMS |D 1990 10 30 |T 16:36:21,FMA |D 1990 11 06 |T 12:10:58,b,,"Lafuente Ferrari, E.  Breve historia de la pintura española. Colección síntesis de arte.  4th rev. ed.  Madrid, 1953.","Lafuente Ferrari, E.  Breve historia de la pintura española. Colección síntesis de arte.  4th rev. ed.  Madrid, 1953.",330,"Lafuente Ferrari, Pintura, 1953",Lafuente Ferrari,L
331,"Colmena Solís, J.",,London Studio,Contemporary Spanish Painting,175-201,,,,,,,October |y1936,,12,,,COLSO36,"Colmena Solís, 1936, p.","Colmena Solís, 1936",,"Checked: IJR, 6/6/91  Checked: EW 6/21/91",,Y,,,,,,,,Back on Shelf,,,B C G O,MJO |D 1989 11 22 |T 09:28:02,IR |D 1990 07 27 |T 10:36:40,,,"Colmena Solís, J.  Contemporary Spanish Painting.  London Studio  12 (October 1936): 175-201.","Colmena Solís, J.  Contemporary Spanish Painting.  London Studio  12 (October 1936): 175-201.",331,"Colmena Solís, 1936",Colmena Solís,C
332,"Pellejero, C.",,Príncipe de Viana,"Un notable pintor estellés del XVI, Juan de Bustamante",315-326,,,,,,,|y 1943,,4,,,PELLE,"Pellejero, 1943, p.","Pellejero, 1943",,Checked: EW 6/28/91  seen.8.8.91.fma // IJR 9/26/91,,Y,,,,,,,,Back on Shelf,,,B,MJO |D 1989 11 22 |T 09:37:57,FMA |D 1990 11 05 |T 10:40:38,,,"Pellejero, C.  Un notable pintor estellés del XVI, Juan de Bustamante.  Príncipe de Viana  4 (1943): 315-326.","Pellejero, C.  Un notable pintor estellés del XVI, Juan de Bustamante.  Príncipe de Viana  4 (1943): 315-326.",332,"Pellejero, 1943","Pellejero, 1943",P
333,"Saltillo, Marqués del [M. Lasso de la Vega].",,Boletín de la Sociedad Española de Excursiones,Artistas madrileños (1592-1850),137-243,,,,,,,|y 1953,,57,,,SALTI53,"Saltillo, 1953, p.","Saltillo, 1953",,"Checked: IJR, 5/22/91, EW 6/3/91    seen.5.15.92.fma",,Y,,,,,,,,Back on Shelf,,,C L,MPI |D 1989 11 22 |T 11:01:04,FMA |D 1990 08 03 |T 13:16:41,,,"Saltillo, Marqués del [M. Lasso de la Vega].  Artistas madrileños (1592-1850).  Boletín de la Sociedad Española de Excursiones  57 (1953): 137-243.","Saltillo, Marqués del [M. Lasso de la Vega].  Artistas madrileños (1592-1850).  Boletín de la Sociedad Española de Excursiones  57 (1953): 137-243.",333,"Saltillo, 1953","Saltillo, 1953",S
334,[Studio Talk].,,Studio,Studio Talk. [Review from] Granada,115,,,,,,,|y 1923,,86,,,STUDIO,"Studio Talk [Review], 1923, p.115.","Studio Talk [Review], 1923",,"Checked: EW 6/11/91 / IJR, 6/27/91  seen.8.8.91.fma",,Y,,,,,,,,Back on Shelf,,,C,MPI |D 1989 11 27 |T 23:08:25,IR |D 1990 07 30 |T 14:33:05,,,[Studio Talk].  Studio Talk. [Review from] Granada.  Studio 86 (1923): 115.,[Studio Talk].  Studio Talk. [Review from] Granada.  Studio 86 (1923): 115.,334,"Studio Talk [Review], 1923",Studio Talk,S
335,,"Paris, Galerie Carmine",Astoy,,,,,Comp.,L. Vauxcelles,,,"December 1-15, [|y 1950?]",,,,,PAGACAR,"Paris, Galerie Carmine [exh.], [1950?], n.p.","Paris, Galerie Carmine [exh.], [1950?]",,Checked: EW 6/26/91 // IJR 9/27/91,,,,Y,,,,,,,,,A,MPI |D 1989 11 28 |T 00:02:03,EW |D 1990 08 07 |T 14:46:40,,,"Paris, Galerie Carmine.  Astoy [exh.].  Comp. L. Vauxcelles. December 1-15, [1950?].","Paris, Galerie Carmine.  Astoy [exh.].  Comp. L. Vauxcelles. December 1-15, [1950?].",335,"Paris, Galerie Carmine [exh.], [1950?]","Paris, Galerie",P
336,"Huguet, R.",,Juan Bta. Carbó. Pintor castellonense (1823-1880),,,,,,,[Castellón de la Plana,1911],,,,,,HUGUET,"Huguet, [1911], p.","Huguet, [1911]",,"Checked: EW 6/4/91; IJR, 6/6/91   seen.10.11.91.fma",,,,,,,,,,Back on Shelf,,813 C17h,C,MPI |D 1989 11 28 |T 00:35:12,IR |D 1990 07 27 |T 15:02:08,,,"Huguet, R.  Juan Bta. Carbó. Pintor castellonense (1823-1880). [Castellón de la Plana, 1911].","Huguet, R.  Juan Bta. Carbó. Pintor castellonense (1823-1880). [Castellón de la Plana, 1911].",336,"Huguet, [1911]","Huguet, [1911",H
337,"Marrodán, M.A.",,Maestros de la pintura vasca,,,,,,,Bilbao,1981,,,,,,MARRO81,"Marrodán, 1981, p.","Marrodán, 1981",,"seen.1.28.89.fma    Checked: IJR, 5/20/91, EW 5/23/91",,,,,,,,,,General - Regional,,,A B D E G I K M1 O P R T Z,FMA |D 1989 11 28 |T 01:27:44,FMA |D 1989 11 28 |T 01:27:44,,,"Marrodán, M.A.  Maestros de la pintura vasca.  Bilbao, 1981.","Marrodán, M.A.  Maestros de la pintura vasca.  Bilbao, 1981.",337,"Marrodán, 1981","Marrodán, 1981",M
338,"Sauret Guerrero, [M.]T.",,El siglo XIX en la pintura malagueña,,,,,,,Málaga,1987,,,,,,SAUGUE,"Sauret Guerrero, 1987, p.","Sauret Guerrero, 1987",,"Checked: EW 6/19/91 IJR, 6/27/91   seen.5.6.92.fma",,,,,,,,,,General - Regional,,810.6 Sa87,B C D F G H I J L M1 M3 M4 P R S T V,MPI |D 1989 11 30 |T 22:14:18,MPI |D 1990 10 19 |T 16:18:16,,,"Sauret Guerrero, [M.]T.  El siglo XIX en la pintura malagueña. Málaga, 1987.","Sauret Guerrero, [M.]T.  El siglo XIX en la pintura malagueña. Málaga, 1987.",338,"Sauret Guerrero, 1987",Sauret Guerrero,S
339,,"Barcelona, Museu d'Art Modern",Pintura segles XIX i XX,,,,,Comps.,"C. Mendoza Garriga, et al",,1987,,,,,,BARMAM,"Barcelona, Museu d'Art Modern [cat.], 1987, v. , p.","Barcelona, Museu d'Art Modern [cat.], 1987",2 vols.,"Checked: IJR, 5/13/91, EW 5/23/91.         seen.7.12.91.fma",,,Y,,,,,,,General,,C B231 C M98c 1987 v.,A B C D E F G H I J L M1 M3 M4 N P R S T V Z,FMA |D 1989 12 05 |T 22:39:51,FMA |D 1990 08 09 |T 10:13:18,,,"Barcelona, Museu d'Art Modern.  Pintura segles XIX i XX [cat.]. Comps. C. Mendoza Garriga, et al.  2 vols.  1987.","Barcelona, Museu d'Art Modern.  Pintura segles XIX i XX [cat.]. Comps. C. Mendoza Garriga, et al.  2 vols.  1987.",339,"Barcelona, Museu d'Art Modern [cat.], 1987","Barcelona, Museu",B
340,"Sotheby's, New York.",,19th Century European Paintings and Drawings,,,,,,,,,"October 24, |y 1989",,,,,SOTHNY1089,"Sale, Sotheby's, New York, October 24, 1989, n.p.   lot","Sale, Sotheby's, New York, October 24, 1989",,"Checked: EW 5/29/91; IJR, 5/30.91    seen.9.1.93.fma  checked from cut catalogue, couldn't check references.  mlh 3/1/95",,,,,,Y,,,,Sale,,,A B C G M P,MPI |D 1989 12 07 |T 00:10:25,IR |D 1990 07 30 |T 13:18:52,,,"Sale, Sotheby's, New York.  19th Century European Paintings and Drawings.  October 24, 1989.","Sale, Sotheby's, New York.  19th Century European Paintings and Drawings.  October 24, 1989.",340,"Sale, Sotheby's, New York, October 24, 1989","Sale, Sotheby's",S
341,"Carrillo y Gariel, A.",,Autógrafos de pintores coloniales,,,2nd,"Estudios y fuentes del arte en México, vol.32",,,Mexico City,1972,,,,,,CAGA72,"Carrillo y Gariel, 1972, p.","Carrillo y Gariel, 1972",,Checked: EW.  IJR  seen.8.8.91.fma,,,,,,,,,,General,,992 C235,G L,MPI |D 1989 12 08 |T 10:33:55,FMA |D 1989 12 20 |T 10:25:12,,,"Carrillo y Gariel, A.  Autógrafos de pintores coloniales. Estudios y fuentes del arte en México, vol.32.  2nd ed.  Mexico City, 1972.","Carrillo y Gariel, A.  Autógrafos de pintores coloniales. Estudios y fuentes del arte en México, vol.32.  2nd ed.  Mexico City, 1972.",341,"Carrillo y Gariel, 1972",Carrillo y,C
342,,"New York, Bodley Gallery",Alfonso Benavides,,,,,Comp.,A.L. Mayer,,,"April 6-18, |y 1959 [checklist]",,,,,ALBE,"New York, Bodley Gallery [exh.], 1959, n.p.","New York, Bodley Gallery [exh.], 1959",,Checked:  EW 6/26/91 // Couldn't find on shelf 9/27/91 IR,,,,Y,,,,,,,,,B,MJO |D 1989 12 13 |T 09:14:44,EW |D 1990 08 07 |T 14:14:20,,,"New York, Bodley Gallery.  Alfonso Benavides [exh.].  Comp. A.L. Mayer.  April 6-18, 1959 [checklist].","New York, Bodley Gallery.  Alfonso Benavides [exh.].  Comp. A.L. Mayer.  April 6-18, 1959 [checklist].",342,"New York, Bodley Gallery [exh.], 1959",New York,N
343,,"Paris, Office National Espagnol de Tourisme",Juana Francisca de Bardasano et José Bardasano,,,,,,,,,"December 4-17, |y 1935 [checklist]",,,,,PABAR,"Paris, Office National Espagnol de Tourisme [exh.], 1935.","Paris, Office National Espagnol de Tourisme [exh.], 1935",,"Unchecked: not on self, could not find out guide. EW 6/26/91  seen.12.16.91.fma",,,,Y,,,,,,,,,B,MJO |D 1989 12 13 |T 09:38:12,IR |D 1990 07 30 |T 12:45:39,,,"Paris, Office National Espagnol de Tourisme.  Juana Francisca de Bardasano et José Bardasano [exh.].  December 4-17, 1935 [checklist].","Paris, Office National Espagnol de Tourisme.  Juana Francisca de Bardasano et José Bardasano [exh.].  December 4-17, 1935 [checklist].",343,"Paris, Office National Espagnol de Tourisme [exh.], 1935","Paris, Office",P
344,,"Barcelona, Galerías Librería Dalmau",J. Barrillón Paradell,,,,,,,,,"February 27 - March 12, |y 1943. [checklist]",,,,,BARGALI,"Barcelona, Galerías Dalmau [exh.], 1943, n.p.","Barcelona, Galerías Dalmau [exh.], 1943",,"Checked: EW 6/7/91 / IJR, 6/18/91   seen.12.16.91.fma",,,,Y,,,,,,Back on Shelf,,,B,MJO |D 1989 12 13 |T 10:36:13,FMA |D 1990 08 09 |T 10:30:01,,,"Barcelona, Galerías Librería Dalmau.  J. Barrillón Paradell [exh.].  February 27 - March 12, 1943. [checklist].","Barcelona, Galerías Librería Dalmau.  J. Barrillón Paradell [exh.].  February 27 - March 12, 1943. [checklist].",344,"Barcelona, Galerías Dalmau [exh.], 1943","Barcelona, Galerías",B
345,,"Madrid, Dirección General de Bellas Artes [DGBA]",Carlos Buró,,,,,Comp.,M. Torrell,,,March |y 1961,,,,30,MABURO,"Madrid, DGBA, Buró [exh.], 1961, p.","Madrid, DGBA, Buró [exh.], 1961",,Checked: EW 6/26/91 // IJR 9/24/91,,,,Y,,,,,,,,,B,MJO |D 1989 12 13 |T 11:10:12,FMA |D 1990 08 14 |T 09:56:50,bur,,"Madrid, Dirección General de Bellas Artes [DGBA].  Carlos Buró [exh.].  Comp. M. Torrell.  March 1961, no.30.","Madrid, Dirección General de Bellas Artes [DGBA].  Carlos Buró [exh.].  Comp. M. Torrell.  March 1961, no.30.",345,"Madrid, DGBA, Buró [exh.], 1961","Madrid, DGBA",M
346,,"Madrid, Dirección General de Bellas Artes [DGBA]",José Beulas,,,,,,,,,February |y 1961,,,,28,MABEU,"Madrid, DGBA, Beulas [exh.], 1961, p.","Madrid, DGBA, Beulas [exh.], 1961",,Checked: EW 6/26/91 // IJR 9/24/91,,,,Y,,,,,,,,,B,MJO |D 1989 12 13 |T 11:23:48,IR |D 1990 07 30 |T 10:01:43,beu,,"Madrid, Dirección General de Bellas Artes [DGBA].  José Beulas [exh.].  February 1961, no.28.","Madrid, Dirección General de Bellas Artes [DGBA].  José Beulas [exh.].  February 1961, no.28.",346,"Madrid, DGBA, Beulas [exh.], 1961","Madrid, DGBA",M
347,"Saltillo, Marqués del [M. Lasso de la Vega].",,Arte Español,Un pintor desconocido del siglo XVII: Domingo Guerra Coronel,43-48,,,,,,,|y 1944,,15,,,SALTI44,"Saltillo, 1944, p.","Saltillo, 1944",,Checked: EW 9/18/91 / IJR 9/18/91  seen.9.27.91.fma,,y,,,,,,,,Back on Shelf,,,G J,SCR |D 1991 08 16 |T 11:22:11,SCR |D 1991 08 16 |T 11:22:11,,,"Saltillo, Marqués del [M. Lasso de la Vega].  Un pintor desconocido del siglo XVII: Domingo Guerra Coronel.  Arte Español  15 (1944): 43-48.","Saltillo, Marqués del [M. Lasso de la Vega].  Un pintor desconocido del siglo XVII: Domingo Guerra Coronel.  Arte Español  15 (1944): 43-48.",347,"Saltillo, 1944","Saltillo, 1944",S
348,"García Saiz, M.C.",,Archivo Español de Arte,Un curioso error en torno a Juan de Alfaro,184-185,,,,,,,|y 1976,,49,,,GARSA76,"García Saiz, 1976, p.","García Saiz, 1976",,"Checked: IJR, 5/17/91, EW 5/23/91  seen.6.4.91.fma",,Y,,,,,,,,Back on Shelf,,,A,MPI |D 1989 12 19 |T 10:46:42,IR |D 1990 07 27 |T 11:53:27,,,"García Saiz, M.C.  Un curioso error en torno a Juan de Alfaro.  Archivo Español de Arte  49 (1976): 184-185.","García Saiz, M.C.  Un curioso error en torno a Juan de Alfaro.  Archivo Español de Arte  49 (1976): 184-185.",348,"García Saiz, 1976",García Saiz,G
